Buffer,Experiment.Block,Concentration,Seawater.Percent,Light,Time,Replicate,Tech.Rep.,HOOH,OriSource
Control,B,0,75,65,14,1,1,252.1485631,Morris_2013_f1b
Control,B,0,75,65,14,2,1,262.2253992,Morris_2013_f1b
Control,B,0,75,65,14,3,1,521.3023671,Morris_2013_f1b
Control,B,0,50,65,14,1,1,186.5094123,Morris_2013_f1b
Control,B,0,50,65,14,2,1,420.2672579,Morris_2013_f1b
Control,B,0,50,65,14,3,1,486.3342044,Morris_2013_f1b
Control,B,0,25,65,14,1,1,322.5684168,Morris_2013_f1b
Control,B,0,25,65,14,2,1,460.9328285,Morris_2013_f1b
Control,B,0,25,65,14,3,1,643.8414146,Morris_2013_f1b
Control,B,0,0,65,14,1,1,331.2957556,Morris_2013_f1b
Control,B,0,0,65,14,2,1,452.1343826,Morris_2013_f1b
Control,B,0,0,65,14,3,1,494.2547659,Morris_2013_f1b
HEPES,B,10,100,65,14,1,1,4007.075131,Morris_2013_f1b
HEPES,B,10,100,65,14,2,1,3948.685829,Morris_2013_f1b
HEPES,B,10,100,65,14,3,1,3761.831375,Morris_2013_f1b
HEPES,B,10,75,65,14,1,1,3133.926523,Morris_2013_f1b
HEPES,B,10,75,65,14,2,1,3215.25728,Morris_2013_f1b
HEPES,B,10,75,65,14,3,1,3413.441207,Morris_2013_f1b
HEPES,B,10,50,65,14,1,1,2247.540464,Morris_2013_f1b
HEPES,B,10,50,65,14,2,1,2356.822843,Morris_2013_f1b
HEPES,B,10,50,65,14,3,1,2298.776777,Morris_2013_f1b
HEPES,B,10,25,65,14,1,1,1464.04983,Morris_2013_f1b
HEPES,B,10,25,65,14,2,1,1610.744918,Morris_2013_f1b
HEPES,B,10,25,65,14,3,1,1611.012051,Morris_2013_f1b
HEPES,B,10,0,65,14,1,1,446.418141,Morris_2013_f1b
HEPES,B,10,0,65,14,2,1,698.0746031,Morris_2013_f1b
HEPES,B,10,0,65,14,3,1,644.7880998,Morris_2013_f1b
Control,B,0,100,65,17,1,1,-3.894575138,Morris_2013_f1b
Control,B,0,100,65,17,2,1,67.60821276,Morris_2013_f1b
Control,B,0,100,65,17,3,1,75.36670284,Morris_2013_f1b
Control,B,0,75,65,17,1,1,40.70834952,Morris_2013_f1b
Control,B,0,75,65,17,2,1,-6.188243627,Morris_2013_f1b
Control,B,0,75,65,17,3,1,-15.41976332,Morris_2013_f1b
Control,B,0,50,65,17,1,1,-8.265974596,Morris_2013_f1b
Control,B,0,50,65,17,2,1,-27.21391962,Morris_2013_f1b
Control,B,0,50,65,17,3,1,-4.250910196,Morris_2013_f1b
Control,B,0,25,65,17,1,1,-98.72624539,Morris_2013_f1b
Control,B,0,25,65,17,2,1,-25.44140069,Morris_2013_f1b
Control,B,0,25,65,17,3,1,98.59257614,Morris_2013_f1b
Control,B,0,0,65,17,1,1,18.98335643,Morris_2013_f1b
Control,B,0,0,65,17,2,1,-35.51034593,Morris_2013_f1b
Control,B,0,0,65,17,3,1,209.4627576,Morris_2013_f1b
HEPES,B,10,100,65,17,1,1,4009.782255,Morris_2013_f1b
HEPES,B,10,100,65,17,2,1,3798.09901,Morris_2013_f1b
HEPES,B,10,100,65,17,3,1,3480.590358,Morris_2013_f1b
HEPES,B,10,75,65,17,1,1,3115.996643,Morris_2013_f1b
HEPES,B,10,75,65,17,2,1,3122.954715,Morris_2013_f1b
HEPES,B,10,75,65,17,3,1,3094.740151,Morris_2013_f1b
HEPES,B,10,50,65,17,1,1,1932.563279,Morris_2013_f1b
HEPES,B,10,50,65,17,2,1,2107.58865,Morris_2013_f1b
HEPES,B,10,50,65,17,3,1,1994.833021,Morris_2013_f1b
HEPES,B,10,25,65,17,1,1,1157.341481,Morris_2013_f1b
HEPES,B,10,25,65,17,2,1,1272.955421,Morris_2013_f1b
HEPES,B,10,25,65,17,3,1,1386.960511,Morris_2013_f1b
HEPES,B,10,0,65,17,1,1,165.4920034,Morris_2013_f1b
HEPES,B,10,0,65,17,2,1,204.9841524,Morris_2013_f1b
HEPES,B,10,0,65,17,3,1,382.404675,Morris_2013_f1b
Control,B,0,100,65,21,1,1,204.0874001,Morris_2013_f1b
Control,B,0,100,65,21,2,1,313.9090397,Morris_2013_f1b
Control,B,0,100,65,21,3,1,333.8231466,Morris_2013_f1b
Control,B,0,75,65,21,1,1,239.2499487,Morris_2013_f1b
Control,B,0,75,65,21,2,1,193.0704567,Morris_2013_f1b
Control,B,0,75,65,21,3,1,272.6124886,Morris_2013_f1b
Control,B,0,50,65,21,1,1,206.7472977,Morris_2013_f1b
Control,B,0,50,65,21,2,1,190.8570104,Morris_2013_f1b
